Episode,Loss Value,Timestamp
1,0.4124,2024-01-01 00:00:00
2,0.5852,2024-01-01 01:00:00
3,0.5196,2024-01-01 02:00:00
4,0.4796,2024-01-01 03:00:00
5,0.3468,2024-01-01 04:00:00
6,0.3468,2024-01-01 05:00:00
7,0.3174,2024-01-01 06:00:00
8,0.5599,2024-01-01 07:00:00
9,0.4803,2024-01-01 08:00:00
10,0.5124,2024-01-01 09:00:00
11,0.3062,2024-01-01 10:00:00
12,0.591,2024-01-01 11:00:00
13,0.5497,2024-01-01 12:00:00
14,0.3637,2024-01-01 13:00:00
15,0.3545,2024-01-01 14:00:00
16,0.355,2024-01-01 15:00:00
17,0.3913,2024-01-01 16:00:00
18,0.4574,2024-01-01 17:00:00
19,0.4296,2024-01-01 18:00:00
20,0.3874,2024-01-01 19:00:00
21,0.4836,2024-01-01 20:00:00
22,0.3418,2024-01-01 21:00:00
23,0.3876,2024-01-01 22:00:00
24,0.4099,2024-01-01 23:00:00
25,0.4368,2024-01-02 00:00:00
26,0.5356,2024-01-02 01:00:00
27,0.3599,2024-01-02 02:00:00
28,0.4543,2024-01-02 03:00:00
29,0.4777,2024-01-02 04:00:00
30,0.3139,2024-01-02 05:00:00
31,0.4823,2024-01-02 06:00:00
32,0.3512,2024-01-02 07:00:00
33,0.3195,2024-01-02 08:00:00
34,0.5847,2024-01-02 09:00:00
35,0.5897,2024-01-02 10:00:00
36,0.5425,2024-01-02 11:00:00
37,0.3914,2024-01-02 12:00:00
38,0.3293,2024-01-02 13:00:00
39,0.5053,2024-01-02 14:00:00
40,0.432,2024-01-02 15:00:00
41,0.3366,2024-01-02 16:00:00
42,0.4486,2024-01-02 17:00:00
43,0.3103,2024-01-02 18:00:00
44,0.5728,2024-01-02 19:00:00
45,0.3776,2024-01-02 20:00:00
46,0.4988,2024-01-02 21:00:00
47,0.3935,2024-01-02 22:00:00
48,0.456,2024-01-02 23:00:00
49,0.464,2024-01-03 00:00:00
50,0.3555,2024-01-03 01:00:00
51,0.5909,2024-01-03 02:00:00
52,0.5325,2024-01-03 03:00:00
53,0.5818,2024-01-03 04:00:00
54,0.5684,2024-01-03 05:00:00
55,0.4794,2024-01-03 06:00:00
56,0.5766,2024-01-03 07:00:00
57,0.3265,2024-01-03 08:00:00
58,0.3588,2024-01-03 09:00:00
59,0.3136,2024-01-03 10:00:00
60,0.3976,2024-01-03 11:00:00
61,0.4166,2024-01-03 12:00:00
62,0.3814,2024-01-03 13:00:00
63,0.5486,2024-01-03 14:00:00
64,0.407,2024-01-03 15:00:00
65,0.3843,2024-01-03 16:00:00
66,0.4628,2024-01-03 17:00:00
67,0.3423,2024-01-03 18:00:00
68,0.5407,2024-01-03 19:00:00
69,0.3224,2024-01-03 20:00:00
70,0.5961,2024-01-03 21:00:00
71,0.5317,2024-01-03 22:00:00
72,0.3596,2024-01-03 23:00:00
73,0.3017,2024-01-04 00:00:00
74,0.5446,2024-01-04 01:00:00
75,0.5121,2024-01-04 02:00:00
76,0.5187,2024-01-04 03:00:00
77,0.5314,2024-01-04 04:00:00
78,0.3222,2024-01-04 05:00:00
79,0.4075,2024-01-04 06:00:00
80,0.3348,2024-01-04 07:00:00
81,0.5589,2024-01-04 08:00:00
82,0.487,2024-01-04 09:00:00
83,0.3993,2024-01-04 10:00:00
84,0.3191,2024-01-04 11:00:00
85,0.3933,2024-01-04 12:00:00
86,0.3976,2024-01-04 13:00:00
87,0.5189,2024-01-04 14:00:00
88,0.4913,2024-01-04 15:00:00
89,0.5662,2024-01-04 16:00:00
90,0.4417,2024-01-04 17:00:00
91,0.3359,2024-01-04 18:00:00
92,0.514,2024-01-04 19:00:00
93,0.5282,2024-01-04 20:00:00
94,0.4684,2024-01-04 21:00:00
95,0.5313,2024-01-04 22:00:00
96,0.4481,2024-01-04 23:00:00
97,0.4568,2024-01-05 00:00:00
98,0.4283,2024-01-05 01:00:00
99,0.3076,2024-01-05 02:00:00
100,0.3324,2024-01-05 03:00:00
101,0.3094,2024-01-05 04:00:00
102,0.4909,2024-01-05 05:00:00
103,0.3943,2024-01-05 06:00:00
104,0.4526,2024-01-05 07:00:00
105,0.5723,2024-01-05 08:00:00
106,0.3748,2024-01-05 09:00:00
107,0.4231,2024-01-05 10:00:00
108,0.5267,2024-01-05 11:00:00
109,0.3686,2024-01-05 12:00:00
110,0.3231,2024-01-05 13:00:00
111,0.3869,2024-01-05 14:00:00
112,0.3484,2024-01-05 15:00:00
113,0.5789,2024-01-05 16:00:00
114,0.5424,2024-01-05 17:00:00
115,0.49,2024-01-05 18:00:00
116,0.5614,2024-01-05 19:00:00
117,0.5411,2024-01-05 20:00:00
118,0.356,2024-01-05 21:00:00
119,0.5678,2024-01-05 22:00:00
120,0.4618,2024-01-05 23:00:00
121,0.5422,2024-01-06 00:00:00
122,0.5688,2024-01-06 01:00:00
123,0.3954,2024-01-06 02:00:00
124,0.333,2024-01-06 03:00:00
125,0.3684,2024-01-06 04:00:00
126,0.4281,2024-01-06 05:00:00
127,0.5454,2024-01-06 06:00:00
128,0.5582,2024-01-06 07:00:00
129,0.3021,2024-01-06 08:00:00
130,0.4532,2024-01-06 09:00:00
131,0.4252,2024-01-06 10:00:00
132,0.3666,2024-01-06 11:00:00
133,0.336,2024-01-06 12:00:00
134,0.4013,2024-01-06 13:00:00
135,0.5829,2024-01-06 14:00:00
136,0.397,2024-01-06 15:00:00
137,0.4556,2024-01-06 16:00:00
