Event ID,Pre-Mitigation Error Rate,Post-Mitigation Error Rate,Mitigation Efficiency
1,0.1099,0.0197,75.94
2,0.1014,0.0237,52.56
3,0.0788,0.0427,61.64
4,0.0506,0.017,74.6
5,0.0996,0.0435,65.51
6,0.0786,0.0044,59.09
7,0.1235,0.0388,75.21
8,0.0524,0.0424,66.14
9,0.1085,0.0091,62.91
10,0.1441,0.0215,73.2
11,0.0674,0.0083,56.66
12,0.0972,0.0353,96.39
13,0.0591,0.0268,93.39
14,0.1126,0.0318,85.38
15,0.1051,0.0098,55.31
16,0.0907,0.0106,88.79
17,0.1021,0.0021,90.4
18,0.1397,0.0161,88.39
19,0.0696,0.028,55.7
20,0.0523,0.0429,82.2
21,0.1362,0.0333,91.72
22,0.1077,0.0218,78.87
23,0.1391,0.0477,82.32
24,0.1097,0.036,72.92
25,0.131,0.0465,76.44
26,0.093,0.0264,51.72
27,0.125,0.0129,81.95
28,0.1413,0.0026,54.07
29,0.1072,0.0363,71.75
30,0.0681,0.0061,64.63
31,0.0769,0.0151,77.27
32,0.0699,0.0266,56.67
33,0.0747,0.0282,84.58
34,0.0806,0.03,89.75
35,0.1055,0.0083,58.17
36,0.1088,0.019,55.22
37,0.0926,0.0309,57.28
38,0.1115,0.0485,93.86
39,0.0582,0.0364,76.41
40,0.0588,0.0461,73.36
41,0.0672,0.0381,55.34
42,0.1018,0.0296,82.48
43,0.0714,0.0096,93.4
44,0.0783,0.0333,91.41
45,0.09,0.0312,81.3
46,0.1312,0.0301,53.76
47,0.0514,0.0245,55.62
48,0.1149,0.0264,52.47
49,0.1169,0.0167,62.87
50,0.1299,0.026,56.78
51,0.1433,0.0099,63.0
52,0.052,0.0403,69.25
53,0.0654,0.0093,97.15
54,0.1386,0.0042,80.52
55,0.0959,0.0218,91.75
56,0.1065,0.0329,85.52
57,0.1163,0.0219,55.63
58,0.1179,0.0138,86.8
59,0.1432,0.0279,63.75
60,0.1497,0.0174,81.96
61,0.122,0.0466,67.05
62,0.0787,0.0461,99.88
63,0.138,0.0251,63.18
64,0.0549,0.0164,63.96
65,0.0731,0.0369,96.53
66,0.1397,0.0018,51.23
67,0.0756,0.0237,84.83
68,0.0721,0.0168,86.27
69,0.0638,0.046,91.82
70,0.1359,0.0006,98.72
71,0.1,0.0276,98.78
72,0.1175,0.037,53.26
73,0.0739,0.0243,91.09
74,0.1258,0.0043,82.32
75,0.126,0.0486,82.37
76,0.0813,0.0259,56.42
77,0.0911,0.0307,82.51
78,0.071,0.0118,99.12
79,0.1477,0.0242,95.59
80,0.1146,0.0215,71.96
81,0.1435,0.0037,52.0
82,0.0803,0.0053,68.11
83,0.1282,0.0419,91.32
84,0.1266,0.012,85.07
85,0.1192,0.0097,72.97
86,0.1466,0.0252,52.76
87,0.0894,0.0384,71.34
88,0.0631,0.0031,73.45
89,0.1172,0.0288,96.43
90,0.1229,0.006,82.05
91,0.1075,0.0018,65.58
92,0.0707,0.0026,76.27
93,0.1004,0.0417,53.3
94,0.0812,0.0059,98.63
95,0.0927,0.0023,68.0
96,0.1145,0.0219,73.89
97,0.1245,0.0422,67.76
98,0.0732,0.0131,84.13
99,0.0905,0.0211,83.11
100,0.0769,0.002,85.77
101,0.0699,0.0225,63.41
102,0.1283,0.0289,65.78
103,0.1409,0.0285,56.26
104,0.087,0.0166,82.78
105,0.1251,0.0158,51.99
106,0.1397,0.0053,79.88
107,0.1346,0.0183,93.48
108,0.0683,0.005,94.54
109,0.1456,0.0383,72.45
110,0.0877,0.0483,72.97
111,0.0839,0.0485,53.85
112,0.0562,0.0433,83.54
113,0.0986,0.03,91.06
114,0.0609,0.035,62.23
115,0.0749,0.0143,71.07
116,0.0817,0.0315,91.94
117,0.1309,0.0228,93.86
118,0.1375,0.0241,62.16
119,0.0802,0.0379,77.53
120,0.1359,0.0141,59.62
121,0.1357,0.0159,55.09
122,0.1265,0.0462,95.56
123,0.0647,0.0028,91.03
124,0.119,0.0243,88.0
125,0.1445,0.0456,52.44
126,0.1183,0.0305,92.19
127,0.0832,0.0273,71.9
128,0.1001,0.0125,67.12
129,0.1146,0.0172,77.32
130,0.1011,0.0426,54.57
131,0.062,0.028,87.83
132,0.0812,0.0257,79.12
133,0.1302,0.005,59.33
134,0.1361,0.0008,59.41
135,0.0637,0.0482,59.21
136,0.1452,0.0188,52.85
137,0.0829,0.0302,79.39
138,0.1162,0.004,92.02
139,0.1252,0.0342,50.87
140,0.1312,0.0466,52.45
141,0.1446,0.0288,78.64
142,0.0813,0.0063,90.97
143,0.1359,0.0291,66.34
144,0.0632,0.0383,67.48
