Episode,Consistency Percentage,Synchronization Lag,Improvement Factor
1,92.97,0.2811,1.0388
2,83.45,0.1721,1.1868
3,97.45,0.527,1.8312
4,92.26,0.109,1.7668
5,83.14,0.1763,1.3506
6,99.25,0.8269,1.3768
7,90.37,0.7943,1.5336
8,81.46,0.9236,1.0002
9,92.54,0.8691,1.2412
10,85.06,0.7149,1.2082
11,96.07,0.1471,1.2505
12,96.36,0.8046,1.8059
13,99.58,0.861,1.2797
14,90.04,0.8192,1.1915
15,89.1,0.5576,1.5043
16,95.07,0.3096,1.8656
17,82.65,0.8608,1.2413
18,90.94,0.7544,1.0785
19,90.92,0.9827,1.3564
20,81.79,0.2401,1.7477
21,88.36,0.3031,1.5507
22,97.07,0.2906,1.8168
23,97.12,0.8133,1.9596
24,81.98,0.2682,1.7927
25,81.81,0.16,1.6038
26,85.25,0.9987,1.4933
27,97.5,0.1223,1.0401
28,82.58,0.8517,1.9843
29,94.4,0.4288,1.3835
30,82.02,0.8575,1.1522
31,92.46,0.5992,1.6667
32,87.12,0.9115,1.2843
33,95.78,0.9336,1.5858
34,84.67,0.1082,1.5868
35,92.78,0.1679,1.4457
36,84.71,0.3253,1.8361
37,94.27,0.7024,1.265
38,97.47,0.8994,1.4486
39,82.54,0.5139,1.5377
40,97.33,0.6463,1.6636
41,91.87,0.2696,1.784
42,82.54,0.8245,1.3948
43,88.55,0.9706,1.646
44,83.22,0.3417,1.1506
45,94.01,0.5453,1.9326
46,95.18,0.1775,1.3831
47,82.12,0.6032,1.7295
48,90.12,0.5525,1.0203
49,96.29,0.23,1.2052
50,98.72,0.4979,1.4871
51,90.27,0.4007,1.8783
52,99.01,0.5696,1.5273
53,90.71,0.6271,1.9299
54,87.88,0.1076,1.4838
55,96.96,0.7849,1.4904
56,89.86,0.7417,1.1197
57,89.44,0.4297,1.8027
58,89.81,0.1476,1.247
59,96.94,0.7794,1.8996
60,96.64,0.9597,1.9108
61,88.07,0.3161,1.9433
62,86.67,0.3912,1.5202
63,89.84,0.2654,1.6771
64,91.46,0.6192,1.7785
65,84.77,0.2394,1.131
66,95.88,0.4206,1.601
67,89.73,0.7273,1.0343
68,86.68,0.6041,1.4976
69,82.14,0.4478,1.1548
70,84.78,0.4782,1.1829
71,98.99,0.6059,1.365
72,86.1,0.1053,1.4324
73,83.38,0.1707,1.6232
74,89.21,0.8931,1.0744
75,86.14,0.1701,1.5037
76,80.7,0.7361,1.1826
77,86.46,0.928,1.574
78,90.88,0.3436,1.6374
79,91.03,0.4334,1.5567
80,87.13,0.612,1.7383
81,88.95,0.8935,1.3356
82,99.31,0.9477,1.7651
83,87.55,0.7656,1.4328
84,85.16,0.178,1.4842
85,84.87,0.7022,1.6481
86,89.16,0.4693,1.0184
87,95.19,0.5236,1.654
88,84.12,0.1442,1.6186
89,94.19,0.272,1.3098
90,80.42,0.8115,1.0858
91,88.38,0.5086,1.0909
92,95.52,0.3715,1.9232
93,86.77,0.4456,1.6893
94,91.27,0.869,1.1271
95,84.1,0.7741,1.3567
96,94.84,0.3451,1.5925
97,81.05,0.2058,1.8356
98,97.05,0.3268,1.0437
99,83.96,0.9287,1.2366
100,97.49,0.6234,1.8897
101,87.05,0.5801,1.0092
102,94.45,0.6368,1.2014
103,86.38,0.4294,1.959
104,98.12,0.8264,1.6134
105,82.53,0.571,1.2617
106,83.57,0.2051,1.067
107,89.86,0.2162,1.0282
108,81.64,0.5832,1.2447
109,83.92,0.9429,1.8815
110,98.88,0.3775,1.4159
111,99.53,0.8826,1.7203
112,87.53,0.7877,1.9183
